# NO SAMPLE -- ONE ARM SCANS
FTS continuous move, 150 GHz source, no bandpass filter; rect horn on source, 
rectangular source on detector

SAMPLE: 611-612 etalon with 2.625" spacing. mm/sec requested to 1.50. X-polarization

4" system stop upstream of beamsplitter
# Center Position 388.300000
# half-wdth 210.000000
# speed, mm/s 1.500000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
# SRS sensitivity: 5.000000E-4 volts
# SRS input reserve mode: 2
# SRS sample rate: 256.000000 Hz
# index  time   encoder   signal
# DATA
378 584827120.000000 221.524500 0.000128389
379 584827200.000000 221.639500 0.000128389
380 584827280.000000 221.753000 0.000128389
381 584827360.000000 221.872000 0.00012833
382 584827440.000000 221.984500 0.000128419
383 584827520.000000 222.101500 0.00012836
384 584827600.000000 222.216000 0.000128389
385 584827680.000000 222.331000 0.0001283
386 584827760.000000 222.447500 0.00012833
387 584827840.000000 222.563000 0.00012827
388 584827920.000000 222.681000 0.0001283
389 584828000.000000 222.793000 0.00012836
390 584828080.000000 222.911000 0.0001283
391 584828160.000000 223.023000 0.00012833
392 584828240.000000 223.141500 0.00012827
393 584828320.000000 223.257000 0.00012833
394 584828400.000000 223.372500 0.00012827
395 584828480.000000 223.489000 0.00012836
396 584828560.000000 223.605000 0.0001283
397 584828640.000000 223.720000 0.00012833
398 584828720.000000 223.835000 0.00012827
399 584828800.000000 223.951000 0.0001283
400 584828880.000000 224.064000 0.00012833
401 584828960.000000 224.181000 0.0001283
402 584829040.000000 224.292500 0.000128181
403 584829120.000000 224.409500 0.00012824
404 584829200.000000 224.525500 0.000128181
405 584829280.000000 224.642000 0.000128211
406 584829360.000000 224.757000 0.000128181
407 584829440.000000 224.873500 0.000128181
408 584829520.000000 224.990000 0.000128181
409 584829600.000000 225.102000 0.000128151
410 584829680.000000 225.220000 0.000128151
411 584829760.000000 225.334500 0.00012824
412 584829840.000000 225.449000 0.000128211
413 584829920.000000 225.564500 0.000128151
414 584830000.000000 225.682000 0.000128151
415 584830080.000000 225.794000 0.000128151
416 584830160.000000 225.911500 0.000128121
417 584830240.000000 226.028000 0.000128091
418 584830320.000000 226.141000 0.000128091
419 584830400.000000 226.258000 0.000128121
420 584830480.000000 226.370500 0.000128121
421 584830560.000000 226.488500 0.000128121
422 584830640.000000 226.602500 0.000128151
423 584830720.000000 226.720500 0.000128181
424 584830800.000000 226.835000 0.000128151
425 584830880.000000 226.951000 0.000128002
426 584830960.000000 227.065500 0.000128091
427 584831040.000000 227.183500 0.000128151
428 584831120.000000 227.298000 0.000128062
429 584831200.000000 227.414500 0.000128091
430 584831280.000000 227.532500 0.000128091
431 584831360.000000 227.645000 0.000128032
432 584831440.000000 227.760500 0.000128002
433 584831520.000000 227.874500 0.000128032
434 584831600.000000 227.993500 0.000128062
435 584831680.000000 228.106500 0.000128002
436 584831760.000000 228.223500 0.000127972
437 584831840.000000 228.338000 0.000128032
438 584831920.000000 228.454000 0.000127972
439 584832000.000000 228.568000 0.000128002
440 584832080.000000 228.683000 0.000128091
441 584832160.000000 228.801000 0.000128062
442 584832240.000000 228.914000 0.000127972
443 584832320.000000 229.030500 0.000127972
444 584832400.000000 229.143500 0.000128032
445 584832480.000000 229.260500 0.000128032
446 584832560.000000 229.374000 0.000127972
447 584832640.000000 229.492500 0.000127972
448 584832720.000000 229.605000 0.000127942
449 584832800.000000 229.721000 0.000127972
450 584832880.000000 229.837000 0.000128032
451 584832960.000000 229.953000 0.000128002
452 584833040.000000 230.067000 0.000127972
453 584833120.000000 230.182000 0.000127912
454 584833200.000000 230.299500 0.000127972
455 584833280.000000 230.412500 0.000128002
456 584833360.000000 230.530500 0.000128002
457 584833440.000000 230.644500 0.000128002
458 584833520.000000 230.760000 0.000127972
459 584833600.000000 230.875000 0.000127972
460 584833680.000000 230.991500 0.000127972
461 584833760.000000 231.106000 0.000128002
462 584833840.000000 231.220500 0.000127972
463 584833920.000000 231.338000 0.000128002
464 584834000.000000 231.452000 0.000127942
465 584834080.000000 231.568000 0.000127972
466 584834160.000000 231.681500 0.000127972
467 584834240.000000 231.799000 0.000127942
468 584834320.000000 231.911000 0.000127942
469 584834400.000000 232.029500 0.000127883
470 584834480.000000 232.144000 0.000127912
471 584834560.000000 232.262000 0.000127883
472 584834640.000000 232.377500 0.000127942
473 584834720.000000 232.491000 0.000127912
474 584834800.000000 232.606000 0.000127942
475 584834880.000000 232.720000 0.000127912
476 584834960.000000 232.838500 0.000127883
477 584835040.000000 232.952500 0.000127883
478 584835120.000000 233.068000 0.000127972
479 584835200.000000 233.181500 0.000127883
480 584835280.000000 233.300000 0.000127912
481 584835360.000000 233.415000 0.000127883
482 584835440.000000 233.530500 0.000127942
483 584835520.000000 233.646500 0.000127883
484 584835600.000000 233.763000 0.000127942
485 584835680.000000 233.879500 0.000127883
486 584835760.000000 233.993000 0.000127883
487 584835840.000000 234.110500 0.000127823
488 584835920.000000 234.222500 0.000127883
489 584836000.000000 234.339500 0.000127972
490 584836080.000000 234.453500 0.000127972
491 584836160.000000 234.569000 0.000127972
492 584836240.000000 234.684000 0.000127883
493 584836320.000000 234.801000 0.000127942
494 584836400.000000 234.917000 0.000127972
495 584836480.000000 235.031500 0.000127942
496 584836560.000000 235.149000 0.000127942
497 584836640.000000 235.264000 0.000127912
498 584836720.000000 235.379500 0.000127972
499 584836800.000000 235.494500 0.000128002
500 584836880.000000 235.609000 0.000128002
501 584836960.000000 235.724000 0.000128002
502 584837040.000000 235.841500 0.000127942
503 584837120.000000 235.957000 0.000127912
504 584837200.000000 236.071500 0.000127972
505 584837280.000000 236.187500 0.000128002
506 584837360.000000 236.301000 0.000127972
507 584837440.000000 236.418500 0.000127942
508 584837520.000000 236.532500 0.000127942
509 584837600.000000 236.650000 0.000128002
510 584837680.000000 236.762500 0.000127972
511 584837760.000000 236.880000 0.000128002
512 584837840.000000 236.995000 0.000127972
513 584837920.000000 237.112500 0.000127972
514 584838000.000000 237.226000 0.000127972
