# NO SAMPLE - ONE ARM
FTS 95 GHz source w/rectangular feedhorn and 95 GHz diode detector w/ 
higher gain round feedhorn w/circ-rect waveguide converter

SAMPLE - no sample

 15-02 etalon. 1.5" spacing. Polarisation along x
another test, after motor not responding; just pushed red reset button on stepper driver
again, this time wiggled/tightened RS-232 cables

Testing for polarization, aligning y-axis with the polarization of the beam.

for 20160330_002 put on small (~1.5" OD) ring of AN-73(?) around detector feedhorn
also sped up lockin filter (had been 100ms for 20160329_001, actually taken 30th, 
and changed it to 30ms), and slowed down mirror to 1.5mm/sec

now for 20160330_003 put bigger piece of eccosorb in front of detector, w/probably 
same hole that the little disk came out of 


# Center Position 350.000000
# half-wdth 220.000000
# speed, mm/s 2.000000
# SRS time constant: 0.030000 sec
# SRS filter slope: 6 dB/octave
# SRS filt sync on/off: ON
# SRS input mode: AC
# SRS input shield: GND
462 3014326200.000000 201.350000 0.000139267
463 3014326280.000000 201.506000 0.000139267
464 3014326360.000000 201.659500 0.000139208
465 3014326440.000000 201.816500 0.000139237
466 3014326520.000000 201.971000 0.000139178
467 3014326600.000000 202.128500 0.000139237
468 3014326681.000000 202.285000 0.000139208
469 3014326760.000000 202.440000 0.000139208
470 3014326840.000000 202.596000 0.000139178
471 3014326920.000000 202.751500 0.000139208
472 3014327000.000000 202.905500 0.000139208
473 3014327080.000000 203.061000 0.000139148
474 3014327160.000000 203.217000 0.000139148
475 3014327240.000000 203.371500 0.000139148
476 3014327320.000000 203.526500 0.000139118
477 3014327400.000000 203.681000 0.000139118
478 3014327480.000000 203.837000 0.000139088
479 3014327560.000000 203.988500 0.000139118
480 3014327640.000000 204.145000 0.000139118
481 3014327720.000000 204.299500 0.000139118
482 3014327800.000000 204.454500 0.000139118
483 3014327880.000000 204.612000 0.000139148
484 3014327960.000000 204.767000 0.000139088
485 3014328040.000000 204.923000 0.000139118
486 3014328120.000000 205.075000 0.000139059
487 3014328200.000000 205.227000 0.000139029
488 3014328280.000000 205.383000 0.000138999
489 3014328360.000000 205.536500 0.000139029
490 3014328440.000000 205.694500 0.000139088
491 3014328520.000000 205.847000 0.000139029
492 3014328600.000000 206.001500 0.000139029
493 3014328680.000000 206.159500 0.000138999
494 3014328760.000000 206.315500 0.000138999
495 3014328840.000000 206.471000 0.000138969
496 3014328920.000000 206.625000 0.000138969
497 3014329000.000000 206.780000 0.000138969
498 3014329080.000000 206.934500 0.000138969
499 3014329160.000000 207.091000 0.00013891
500 3014329240.000000 207.247000 0.000138939
501 3014329320.000000 207.402000 0.000138969
502 3014329400.000000 207.556000 0.000138969
503 3014329480.000000 207.725000 0.00013891
504 3014329560.000000 207.877000 0.000138939
505 3014329640.000000 208.029500 0.000138939
506 3014329720.000000 208.184500 0.000138939
507 3014329800.000000 208.338000 0.000138939
508 3014329880.000000 208.493500 0.000138939
509 3014329960.000000 208.648500 0.000138999
510 3014330040.000000 208.800000 0.00013891
511 3014330120.000000 208.954500 0.00013891
512 3014330200.000000 209.108000 0.00013891
513 3014330280.000000 209.261000 0.00013885
514 3014330360.000000 209.418500 0.000138939
515 3014330440.000000 209.573500 0.00013891
516 3014330520.000000 209.731000 0.000138939
517 3014330600.000000 209.884500 0.00013891
518 3014330680.000000 210.038000 0.000138939
519 3014330760.000000 210.193500 0.00013891
520 3014330840.000000 210.345500 0.00013885
521 3014330920.000000 210.503000 0.00013885
522 3014331000.000000 210.659000 0.00013882
523 3014331080.000000 210.810000 0.00013879
524 3014331160.000000 210.965000 0.00013885
525 3014331240.000000 211.118000 0.00013882
526 3014331320.000000 211.276000 0.00013879
527 3014331400.000000 211.429000 0.00013879
528 3014331480.000000 211.582500 0.00013879
529 3014331560.000000 211.739000 0.00013879
530 3014331640.000000 211.893000 0.000138761
531 3014331720.000000 212.050000 0.000138701
532 3014331800.000000 212.206500 0.000138731
533 3014331880.000000 212.362000 0.000138671
534 3014331960.000000 212.518000 0.000138731
535 3014332040.000000 212.672500 0.000138671
536 3014332120.000000 212.829000 0.000138701
537 3014332200.000000 212.983000 0.000138671
538 3014332280.000000 213.138500 0.000138701
539 3014332360.000000 213.296500 0.000138701
540 3014332440.000000 213.448000 0.000138701
541 3014332520.000000 213.605500 0.000138671
542 3014332600.000000 213.761500 0.000138641
543 3014332680.000000 213.917000 0.000138582
544 3014332760.000000 214.070500 0.000138641
545 3014332840.000000 214.224500 0.000138582
546 3014332920.000000 214.381500 0.000138641
547 3014333000.000000 214.535500 0.000138582
548 3014333080.000000 214.690500 0.000138552
549 3014333160.000000 214.847500 0.000138612
550 3014333240.000000 215.000500 0.000138582
551 3014333320.000000 215.155500 0.000138612
552 3014333400.000000 215.311500 0.000138582
553 3014333480.000000 215.463000 0.000138612
554 3014333560.000000 215.620000 0.000138552
555 3014333640.000000 215.775500 0.000138492
556 3014333720.000000 215.928000 0.000138582
