# NO SAMPLE -ONE ARM SCANS
 SAMPLE
SAMPLE-- ONE ARM SCANS
FTS 95 GHz source w/rect feedhorn, rect feedhorn on detect.

SAMPLE: 603-604 etalon with a 3" spacing. mm/sec requested to 2.00. Y polarization

mode A', filter in front of detector feedhorn

phased up before 20160714_015

Note starting 20160713.020 -- peaked up detector on moving arm, then blocked 
moving arm and unblocked fixed arm, and confirmed mirror was optimally aligned
with detector feed

NOTE: 4" fixed-arm and 5" system apertures were swapped by Albert few days ago; 
KLT found that 5" stop was low, both were off-axis; 
SO -- put both on-axis, proper height (nom 10.9" above table, centered on the 
appropriate dashed lines on table, not centered on moving mirror)

also note that aluminum tape was put over backside of 4" stop 






434 2455499940.000000 275.326500 9.67984e-005
435 2455500020.000000 275.481500 9.67984e-005
436 2455500100.000000 275.637500 9.67686e-005
437 2455500180.000000 275.795500 9.67984e-005
438 2455500260.000000 275.948000 9.67984e-005
439 2455500340.000000 276.103500 9.68282e-005
440 2455500420.000000 276.258500 9.67984e-005
441 2455500500.000000 276.416500 9.68282e-005
442 2455500580.000000 276.570000 9.68878e-005
443 2455500660.000000 276.719500 9.68282e-005
444 2455500740.000000 276.880500 9.67984e-005
445 2455500820.000000 277.037500 9.67686e-005
446 2455500900.000000 277.193500 9.67388e-005
447 2455500980.000000 277.346000 9.67984e-005
448 2455501060.000000 277.498000 9.67686e-005
449 2455501140.000000 277.655000 9.67686e-005
450 2455501220.000000 277.808500 9.67686e-005
451 2455501300.000000 277.964000 9.67686e-005
452 2455501380.000000 278.123000 9.67686e-005
453 2455501460.000000 278.277500 9.67984e-005
454 2455501540.000000 278.436000 9.67388e-005
455 2455501620.000000 278.590000 9.67984e-005
456 2455501700.000000 278.745000 9.67388e-005
457 2455501780.000000 278.901000 9.67388e-005
458 2455501860.000000 279.058000 9.67388e-005
459 2455501940.000000 279.209500 9.67686e-005
460 2455502020.000000 279.368000 9.67686e-005
461 2455502100.000000 279.522000 9.6709e-005
462 2455502180.000000 279.677000 9.6709e-005
463 2455502260.000000 279.832500 9.6709e-005
464 2455502340.000000 279.984000 9.6709e-005
465 2455502420.000000 280.142500 9.67388e-005
466 2455502500.000000 280.295500 9.6709e-005
467 2455502580.000000 280.446500 9.6709e-005
468 2455502660.000000 280.604000 9.66494e-005
469 2455502740.000000 280.759500 9.66792e-005
470 2455502820.000000 280.917000 9.6709e-005
471 2455502900.000000 281.072000 9.6709e-005
472 2455502980.000000 281.227000 9.66196e-005
473 2455503060.000000 281.381500 9.66494e-005
474 2455503140.000000 281.536500 9.66494e-005
475 2455503220.000000 281.692500 9.66494e-005
476 2455503300.000000 281.848500 9.66792e-005
477 2455503380.000000 282.000500 9.67388e-005
478 2455503460.000000 282.158500 9.66494e-005
479 2455503540.000000 282.309000 9.66494e-005
480 2455503620.000000 282.466500 9.66494e-005
481 2455503700.000000 282.624000 9.66494e-005
482 2455503780.000000 282.774000 9.66494e-005
483 2455503860.000000 282.930000 9.66196e-005
484 2455503940.000000 283.088000 9.66196e-005
485 2455504020.000000 283.246000 9.66494e-005
486 2455504100.000000 283.400500 9.6709e-005
487 2455504180.000000 283.554000 9.66494e-005
488 2455504260.000000 283.711500 9.66494e-005
489 2455504340.000000 283.867000 9.66494e-005
490 2455504420.000000 284.020000 9.66494e-005
491 2455504500.000000 284.176000 9.6709e-005
492 2455504580.000000 284.327500 9.66494e-005
493 2455504660.000000 284.486500 9.66494e-005
494 2455504740.000000 284.639500 9.66792e-005
495 2455504820.000000 284.794500 9.66196e-005
496 2455504900.000000 284.949000 9.66494e-005
497 2455504980.000000 285.104500 9.66494e-005
498 2455505060.000000 285.259000 9.66494e-005
499 2455505140.000000 285.414000 9.66494e-005
500 2455505220.000000 285.568500 9.66196e-005
501 2455505300.000000 285.723000 9.66196e-005
502 2455505380.000000 285.880000 9.65898e-005
503 2455505460.000000 286.035500 9.66494e-005
504 2455505540.000000 286.193000 9.66792e-005
505 2455505620.000000 286.345000 9.65898e-005
506 2455505700.000000 286.502500 9.65898e-005
507 2455505780.000000 286.655500 9.65004e-005
508 2455505860.000000 286.813500 9.66494e-005
509 2455505940.000000 286.967500 9.65898e-005
510 2455506020.000000 287.123500 9.66196e-005
511 2455506100.000000 287.279500 9.65898e-005
512 2455506180.000000 287.433500 9.656e-005
513 2455506260.000000 287.590000 9.65898e-005
514 2455506340.000000 287.742500 9.65898e-005
515 2455506420.000000 287.897000 9.656e-005
516 2455506500.000000 288.052500 9.65898e-005
517 2455506580.000000 288.208500 9.656e-005
518 2455506660.000000 288.363000 9.65004e-005
519 2455506740.000000 288.522500 9.65004e-005
520 2455506820.000000 288.677500 9.65898e-005
521 2455506900.000000 288.833000 9.656e-005
522 2455506980.000000 288.985500 9.64706e-005
